"RowNumber","AnimalName","AnimalGender","AnimalBirthMonth","BreedName","Borough","ZipCode","LicenseIssuedDate","LicenseExpiredDate","Extract.Year"
65991,"OSCAR","M",2008,"American Pit Bull Mix / Pit Bull Mix",NA,10025,"05/24/2016","05/24/2019",2016
5118,"COOPER","M",2003,"Havanese",NA,10021,"11/30/2015","01/13/2017",2017
95570,"CHARLIE","M",2016,"German Shepherd Crossbreed",NA,10033,"09/27/2016","09/27/2017",2016
99177,"LOLA","F",2010,"Unknown",NA,11229,"10/14/2016","10/21/2017",2016
83959,"CASPER","M",2017,"Pug",NA,11220,"07/10/2018","07/31/2020",2018
76473,"ROCKY","M",2015,"American Bully",NA,10473,"06/03/2018","06/03/2019",2018
79369,"BATYA","F",2011,"American Pit Bull Mix / Pit Bull Mix",NA,11211,"06/15/2018","06/15/2019",2018
53409,"BELLA","F",2012,"Unknown",NA,11239,"03/10/2017","01/28/2018",2017
110493,"STELLLA","F",2016,"Havanese",NA,10128,"11/21/2018","11/21/2019",2018
40819,"PIPER","M",2011,"Chihuahua Crossbreed",NA,10014,"11/04/2017","11/04/2018",2018
112067,"JOAN","F",2008,"Poodle, Toy",NA,11215,"12/28/2016","01/27/2018",2016
57552,"LANDON","M",2010,"Unknown",NA,11231,"04/01/2017","04/07/2018",2017
2106,"PARIS","F",2011,"Jack Russell Terrier",NA,11215,"08/24/2015","08/27/2018",2018
12978,"HENRY","M",2000,"Unknown",NA,10018,"03/29/2016","04/09/2017",2017
58733,"AUGIE","M",2007,"Maltese",NA,10305,"03/07/2018","04/22/2019",2018
82555,"LUCKY","M",2010,"Terrier mix",NA,10471,"08/01/2016","08/01/2017",2016
12036,"POLOLA","F",2001,"Havanese",NA,10021,"04/28/2015","05/30/2016",2016
6933,"LEXIE","F",2013,"Miniature Pinscher",NA,10022,"01/17/2016","01/17/2021",2017
78367,"CHARLOTTE","F",2007,"Miniature Pinscher",NA,10033,"07/10/2017","05/11/2018",2017
70366,"LOLA","F",2016,"Pomeranian",NA,11217,"06/04/2017","06/04/2019",2017
79076,"LILY","F",2018,"Maltese",NA,10040,"06/14/2018","06/14/2019",2018
20831,"FREYJA","F",2014,"Catahoula Leopard Dog",NA,10028,"07/23/2015","07/23/2016",2016
109648,"MARSHMALLOW","M",2010,"Poodle",NA,11423,"11/26/2017","10/15/2018",2017
51872,"DOOGIE","M",2015,"German Shepherd Crossbreed",NA,10305,"03/25/2016","03/25/2017",2016
